freq,airpol,indic_env,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,NL	1297.607 	1253.557 	1221.405 	1216.07 	1182.568 	1190.531 	1192.173 	1163.321 	1092.975 	1103.284 	1080.03 	1057.5 	1014.757 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,PL	1241.107 	1199.31 	1188.194 	1189.098 	1176.053 	1197.905 	1186.121 	1194.527 	1212.753 	1135.171 	1143.906 	1144.186 	1103.902 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,PT	1023.645 	1017.757 	995.73 	981.493 	976.24 	965.226 	971.713 	981.542 	990.911 	996.493 	982.036 	981.812 	974.313 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,RO	1470.645 	1436.792 	1452.284 	1422.127 	1416.382 	1414.712 	1390.769 	1374.663 	1358.924 	1377.855 	1357.944 	1344.327 	1337.344 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,SE	623.573 	600.858 	575.174 	559.36 	536.95 	517.624 	502.077 	491.495 	474.887 	455.637 	443.255 	434.819 	427.92 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,SI	1162.806 	1158.355 	1130.125 	1098.316 	1042.044 	1076.939 	1099.225 	1072.365 	1033.092 	1014.481 	993.98 	970.529 	902.667 
A,CH4_CO2E,AEMIS_PRD,KG_HAB,SK	853.694 	842.925 	813.808 	810.875 	772.95 	776.243 	761.185 	756.603 	735.068 	727.435 	714.399 	719.105 	683.292 
A,CH4_CO2E,AEMIS_PRD,THS_T,AT	7910.165 	7677.64 	7544.766 	7424.326 	7267.575 	7180.663 	7102.943 	7072.517 	6844.2 	6703.171 	6599.76 	6615.741 	6493.946 
A,CH4_CO2E,AEMIS_PRD,THS_T,BE	9130.882 	8866.801 	8827.34 	8656.013 	8483.941 	8495.474 	8456.447 	8273.665 	8191.853 	8106.34 	7976.879 	7872.947 	7659.126 
A,CH4_CO2E,AEMIS_PRD,THS_T,BG	7547.871 	7874.33 	7559.636 	7439.26 	7393.327 	7429.686 	7242.53 	7117.743 	6783.181 	6494.626 	6386.143 	6583.905 	6562.843 
A,CH4_CO2E,AEMIS_PRD,THS_T,CY	974.413 	972.894 	962.701 	947.737 	948.254 	955.315 	978.847 	997.607 	1012.007 	1032.322 	1063.072 	1083.853 	1077.323 
A,CH4_CO2E,AEMIS_PRD,THS_T,CZ	15666.237 	15602.422 	15536.505 	14848.41 	14836.136 	14889.904 	14465.291 	14221.613 	14088.429 	13740.29 	13034.804 	13150.677 	13006.937 
A,CH4_CO2E,AEMIS_PRD,THS_T,DE	61068.833 	59461.996 	59825.453 	58868.238 	57349.047 	56837.751 	55112.619 	54262.579 	51992.914 	49165.13 	47921.288 	46652.123 	45601.281 
A,CH4_CO2E,AEMIS_PRD,THS_T,DK	9134.936 	8940.03 	8830.855 	8731.629 	8708.954 	8636.642 	8729.505 	8740.799 	8807.823 	8625.179 	8634.971 	8750.077 	8472.542 
A,CH4_CO2E,AEMIS_PRD,THS_T,EE	1297.022 	1252.516 	1273.918 	1267.824 	1244.015 	1142.601 	1119.903 	1134.947 	1147.552 	1163.278 	1129.982 	1140.254 	1124.256 
A,CH4_CO2E,AEMIS_PRD,THS_T,EL	12527.309 	12365.685 	12190.197 	11918.543 	11711.731 	11504.17 	11134.394 	11487.524 	11651.396 	11421.841 	11410.874 	11776.714 	11824.863 
A,CH4_CO2E,AEMIS_PRD,THS_T,ES	43819.07 	44023.853 	42806.589 	41408.949 	40573.198 	42111.763 	41673.643 	41906.44 	41986.221 	41540.55 	41969.705 	42544.638 	42452.866 
A,CH4_CO2E,AEMIS_PRD,THS_T,EU27_2020	457536.727 	447401.648 	445059.366 	436661.849 	429182.755 	430493.788 	425809.125 	424216.075 	418206.334 	408645.157 	404686.151 	401325.449 	393363.124 
A,CH4_CO2E,AEMIS_PRD,THS_T,FI	5841.315 	5662.912 	5620.452 	5506.165 	5401.25 	5373.292 	5230.772 	5093.195 	5020.938 	4916.848 	4821.365 	4724.506 	4554.175 
A,CH4_CO2E,AEMIS_PRD,THS_T,FR	71494.346 	68705.141 	68036.628 	66327.644 	65077.669 	64511.18 	64499.293 	63905.738 	62756.324 	62391.517 	61086.617 	59558.62 	58231.801 
A,CH4_CO2E,AEMIS_PRD,THS_T,HR	4571.344 	4537.544 	4493.084 	4382.112 	4345.671 	4442.79 	4417.728 	4379.714 	4184.379 	4108.166 	3998.253 	3875.788 	3796.886 
A,CH4_CO2E,AEMIS_PRD,THS_T,HU	9864.771 	9734.288 	9847.067 	9684.904 	9469.788 	9496.714 	9409.664 	9426.071 	9346.983 	9265.363 	9173.987 	9001.461 	8731.015 
A,CH4_CO2E,AEMIS_PRD,THS_T,IE	14602.896 	14557.863 	15295.488 	15603.517 	15689.161 	16260.163 	16697.846 	17182.385 	17533.313 	17015.942 	17245.57 	17572.063 	17657.607 
A,CH4_CO2E,AEMIS_PRD,THS_T,IT	52908.018 	51576.423 	52133.189 	50539.579 	49396.402 	49394.776 	48807.22 	48787.311 	47989.224 	46717.77 	47423.306 	47062.574 	45737.138 
A,CH4_CO2E,AEMIS_PRD,THS_T,LT	4130.699 	3951.574 	3960.678 	3885.484 	3814.806 	3782.96 	3669.565 	3688.595 	3487.018 	3424.069 	3332.138 	3311.574 	3219.617 
A,CH4_CO2E,AEMIS_PRD,THS_T,LU	667.877 	638.67 	636.676 	642.25 	653.106 	655.048 	669.606 	671.143 	675.296 	651.794 	663.366 	660.178 	647.839 
A,CH4_CO2E,AEMIS_PRD,THS_T,LV	2005.732 	1952.745 	2001.288 	2022.172 	2076.726 	1969.069 	1994.846 	2021.299 	1926.184 	1921.997 	1898.769 	1889.481 	1893.825 
A,CH4_CO2E,AEMIS_PRD,THS_T,MT	165.8 	163.725 	168.536 	166.577 	180.052 	193.214 	205.446 	202.316 	210.684 	226.281 	225.281 	226.522 	227.544 
A,CH4_CO2E,AEMIS_PRD,THS_T,NL	21560.259 	20925.719 	20464.592 	20435.367 	19944.013 	20167.502 	20303.083 	19929.201 	18833.726 	19136.314 	18837.345 	18541.189 	17962.189 
A,CH4_CO2E,AEMIS_PRD,THS_T,PL	47215.188 	45649.624 	45226.439 	45233.519 	44703.827 	45504.129 	45037.132 	45361.949 	46053.986 	43097.315 	42914.505 	42313.764 	40647.613 
A,CH4_CO2E,AEMIS_PRD,THS_T,PT	10823.1 	10753.451 	10486.452 	10280.149 	10172.041 	10020.818 	10063.557 	10149.263 	10240.705 	10318.135 	10198.297 	10218.413 	10199.954 
A,CH4_CO2E,AEMIS_PRD,THS_T,RO	29775.963 	28947.807 	29129.963 	28419.352 	28198.72 	28033.39 	27401.3 	26927.886 	26463.65 	26691.315 	26161.122 	25706.301 	25474.391 
A,CH4_CO2E,AEMIS_PRD,THS_T,SE	5847.949 	5677.639 	5475.297 	5370.065 	5206.326 	5072.29 	4982.156 	4943.312 	4832.079 	4683.441 	4589.211 	4528.989 	4487.571 
A,CH4_CO2E,AEMIS_PRD,THS_T,SI	2382.105 	2377.921 	2324.846 	2262.479 	2148.673 	2222.297 	2269.945 	2215.922 	2142.524 	2118.626 	2089.763 	2045.952 	1906.501 
A,CH4_CO2E,AEMIS_PRD,THS_T,SK	4602.627 	4550.435 	4400.731 	4389.585 	4188.346 	4210.187 	4133.844 	4115.341 	4003.745 	3967.537 	3899.778 	3917.145 	3711.475 
A,CO2,AEMIS_CONS_FP,KG_HAB,AT	10804.516 	11083.159 	10404.792 	10374.044 	9954.728 	9496.667 	9342.878 	9555.281 	9755.729 	9557.212 	8373.294 	9255.389 	9129.058 
A,CO2,AEMIS_CONS_FP,KG_HAB,BE	12216.384 	11351.245 	10866.293 	10649.345 	10505.926 	10339.851 	10168.804 	10190.016 	10463.216 	10131.999 	8928.42 	9670.467 	9750.323 
A,CO2,AEMIS_CONS_FP,KG_HAB,BG	5402.091 	5646.161 	5363.523 	4730.032 	5139.882 	5293.85 	5025.393 	5263.455 	5237.03 	5326.461 	4802.168 	5666.908 	6306.567 
A,CO2,AEMIS_CONS_FP,KG_HAB,CY	16932.121 	14294.766 	13053.954 	11059.71 	11787.369 	11651.23 	12780.675 	13925.366 	13827.858 	13330.998 	11655.292 	12195.573 	12412.761 
A,CO2,AEMIS_CONS_FP,KG_HAB,CZ	10009.816 	10324.864 	9034.722 	8951.701 	8552.005 	8603.182 	8614.514 	8761.698 	8909.197 	8566.798 	7602.589 	8450.392 	8688.33 
A,CO2,AEMIS_CONS_FP,KG_HAB,DE	12143.988 	12773.454 	11967.253 	12246.999 	11676.679 	11113.126 	10799.418 	10950.037 	10904.869 	10408.717 	9322.972 	9979.309 	10277.025 
A,CO2,AEMIS_CONS_FP,KG_HAB,DK	11306.978 	10798.839 	9920.389 	10424.178 	9973.943 	9545.29 	9809.924 	9715.411 	9637.031 	9053.996 	8157.059 	8762.211 	8364.704 
A,CO2,AEMIS_CONS_FP,KG_HAB,EE	11677.12 	11582.387 	11711.139 	12221.084 	12677.338 	11702.248 	12598.539 	12609.796 	12664.108 	10093.633 	9027.507 	10233.447 	10540.848 
A,CO2,AEMIS_CONS_FP,KG_HAB,EL	11468.552 	10422.776 	9659.58 	8694.276 	8530.749 	8195.345 	7787.784 	8160.368 	8165.233 	7695.948 	6526.669 	7057.639 	8037.677 
A,CO2,AEMIS_CONS_FP,KG_HAB,ES	8119.401 	7893.663 	7092.17 	6462.872 	6790.373 	6870.46 	6815.533 	7245.712 	7290.832 	6892.728 	5617.42 	6267.81 	6596.413 
